,class_names,class_names_transformed,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason
50,bodianus_loxozonus,Bodianus loxozonus,187744,Bodianus loxozonus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,Blackfin Hogfish,"(Snyder, 1908)",2010,2008-04-12,LC,None,Unknown,True,False,False,"Russell, B.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,3,50,None,None,None,None
51,bodianus_mesothorax,Bodianus mesothorax,187646,Bodianus mesothorax,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,Yellow-spotted hogfish,"(Bloch &amp; Schneider, 1801)",2010,2008-04-12,LC,None,Unknown,True,False,False,"Russell, B.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,1,40,None,None,None,None
52,bodianus_perditio,Bodianus perditio,187781,Bodianus perditio,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,Golden-spot Hogfish,"(Quoy &amp; Gaimard, 1834)",2010,2008-04-12,LC,None,Unknown,True,False,False,"Russell, B.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,3,50,None,None,None,None
53,bodianus_unimaculatus,Bodianus unimaculatus,187812,Bodianus unimaculatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,Red pigfish,"(Günther, 1862)",2010,2008-04-12,LC,None,Unknown,True,False,False,"Russell, B.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,6,60,None,None,None,None
54,bodianus_vulpinus,Bodianus vulpinus,187553,Bodianus vulpinus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Bodianus,None,"(Richardson, 1850)",2010,2008-04-12,LC,None,Unknown,True,False,False,"Russell, B.","Sadovy, Y. & Carpenter, K.E.",None,None,None,None,100,250,None,None,None,None
55,bothus_mancus,Bothus mancus,154833,Bothus mancus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,BOTHIDAE,Bothus,Flowery Flounder,"(Broussonet, 1782)",2020,2019-11-11,LC,None,Stable,True,False,False,"Amaoka, K., Matsuura, K., Carpenter, K.E. & Munroe, T.A.","Ralph, G.",None,None,None,None,1,256,None,None,None,None
56,bothus_myriaster,Bothus myriaster,46093119,Bothus myriaster,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,BOTHIDAE,Bothus,Oval Flounder,"(Temminck &amp; Schlegel, 1846)",2020,2019-11-15,LC,None,Unknown,True,False,False,"Amaoka, K.","Ralph, G.",None,None,None,None,10,155,None,None,None,None
57,bothus_pantherinus,Bothus pantherinus,18214519,Bothus pantherinus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,BOTHIDAE,Bothus,Leopard Flounder,"(Rüppell, 1830)",2016,2015-03-03,LC,None,Unknown,True,False,False,"Munroe, T.","Ralph, G.",None,None,None,None,1,150,None,None,None,None
58,brachaluteres_jacksonianus,Brachaluteres jacksonianus,69922114,Brachaluteres jacksonianus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Brachaluteres,Pigmy Leatherjacket,"(Quoy &amp; Gaimard, 1824)",2016,2015-03-03,LC,None,Stable,True,False,False,"Matsuura, K. & Motomura, H.","Ralph, G. & Harvey, M.",None,None,None,None,1,40,True,This errata assessment has been created because the map was accidentally left out of the version published previously.,None,None
59,brachirus_orientalis,Brachirus orientalis,172419,Brachirus orientalis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,SOLEIDAE,Brachirus,Oriental Sole,"(Bloch &amp; Schneider, 1801)",2020,2019-08-18,LC,None,Unknown,True,True,False,"Munroe, T.A., Weerts, S.P. & Nair, R.","Ralph, G.",None,None,None,None,0,42,None,None,None,None
60,caesioperca_lepidopterus,Caesioperca lepidopterus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,cantherhines_dumerilii,Cantherhines dumerilii,69922228,Cantherhines dumerilii,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Cantherhines,Whitespotted Filefish,"(Hollard, 1854)",2016,2015-03-02,LC,None,Stable,True,False,False,"Matsuura, K. & Motomura, H.","Ralph, G. & Harvey, M.",None,None,None,None,6,70,True,This errata assessment has been created because the map was accidentally left out of the version published previously.,None,None
62,cantherhines_fronticinctus,Cantherhines fronticinctus,70010111,Cantherhines fronticinctus,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Cantherhines,Spectacled Filefish,"(Günther, 1867)",2016,2015-03-02,LC,None,Unknown,True,False,False,"Matsuura, K. & Motomura, H.","Ralph, G. & Harvey, M.",None,None,None,None,1,43,True,This errata assessment has been created because the map was accidentally left out of the version published previously.,None,None
63,cantherhines_pardalis,Cantherhines pardalis,70010275,Cantherhines pardalis,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Cantherhines,Honeycomb Filefish,"(Rüppell, 1837)",2016,2015-03-02,LC,None,Unknown,True,False,False,"Matsuura, K. & Motomura, H.","Ralph, G. & Harvey, M.",None,None,None,None,2,20,True,This errata assessment has been created because the map was accidentally left out of the version published previously.,None,None
64,cantheschenia_grandisquamis,Cantheschenia grandisquamis,79801139,Cantheschenia grandisquamis,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,Cantheschenia,Largescale Leatherjacket,"Hutchins, 1977",2019,2017-07-17,DD,None,Stable,True,False,False,"Matsuura, K., Motomura, H. & Khan, M.","Ralph, G.",None,None,None,None,0,46,None,None,None,None
